feature_index,feature_name,logistic_weight,rf_importance,shap_mean,logistic_rank,rf_rank,shap_rank
440,clip_dim_440,-0.21252797086305536,0.0004976695452887127,0.0,628,572,2
441,clip_dim_441,-0.46438415967789964,0.001635685770539696,0.0,735,133,2
442,clip_dim_442,0.3826031634530291,0.0010326364907442117,0.0,45,253,2
455,clip_dim_455,0.20163646296181909,0.0010807427390172142,0.0,161,234,2
443,clip_dim_443,-0.264294796910586,0.0025230282758271086,0.0,664,82,2
445,clip_dim_445,0.21764936104833232,0.0024872723889914836,0.0,142,83,2
446,clip_dim_446,0.013163807802765805,0.00040143331360124494,0.0,387,646,2
447,clip_dim_447,0.1393035784961004,0.0008651737467816128,0.0,231,309,2
448,clip_dim_448,-0.6045446878674826,0.010996708038929992,0.0,754,7,2
449,clip_dim_449,-0.3043382559967154,0.0015369678598212582,0.0,688,144,2
450,clip_dim_450,0.27283698754575314,0.0009129459402294999,0.0,108,288,2
451,clip_dim_451,0.16980575301780124,0.00042988348312018615,0.0,198,625,2
452,clip_dim_452,0.4146957217794071,0.0008572561995510839,0.0,39,316,2
453,clip_dim_453,-0.049210533585880165,0.0007636309395763276,0.0,460,360,2
444,clip_dim_444,0.09254626282207147,0.00034428955036193095,0.0,290,684,2
575,clip_dim_575,0.33783516596789176,0.0008459649122194346,0.0,62,321,2
576,clip_dim_576,-0.28749417535312716,0.0011983332328276504,0.0,679,197,2
577,clip_dim_577,-0.024333152887045895,0.0003571700951292667,0.0,439,671,2
698,clip_dim_698,-0.22923017295669118,0.0005130380933867951,0.0,644,555,2
699,clip_dim_699,0.15799224228601222,0.0007234396038526684,0.0,213,399,2
700,clip_dim_700,0.07248751531260517,8.55421899933602e-05,0.0,310,765,2
701,clip_dim_701,-0.25546536597272895,0.002174129058520813,0.0,660,98,2
702,clip_dim_702,0.2482956511520703,0.0010565314130238765,0.0,119,242,2
703,clip_dim_703,-0.16228257351663627,0.0010076851822853785,0.0,579,261,2
704,clip_dim_704,0.1460314459623813,0.0007477928280274031,0.0,224,370,2
705,clip_dim_705,0.013329515290100118,0.000570458848243977,0.0,386,512,2
706,clip_dim_706,0.047121490245208425,0.0002540828031983919,0.0,343,744,2
697,clip_dim_697,0.10507019476230176,0.000642680166841532,0.0,276,455,2
707,clip_dim_707,-0.43532245928442415,0.0013139180690350854,0.0,730,174,2
709,clip_dim_709,-0.09726502583810269,0.00039244785938186323,0.0,508,651,2
710,clip_dim_710,-0.40128143628832785,0.0010906183125783343,0.0,724,225,2
711,clip_dim_711,-0.5757441949772133,0.0036463587858959487,0.0,750,50,2
712,clip_dim_712,0.11185159103164002,0.0004782164596413673,0.0,267,587,2
713,clip_dim_713,0.12700732224798203,0.000653278906201942,0.0,240,448,2
714,clip_dim_714,0.008796244065891697,0.0007567713486923985,0.0,393,363,2
715,clip_dim_715,0.12088398959468177,0.00045548627023742864,0.0,250,602,2
716,clip_dim_716,-0.15531850787274928,0.0005139264343649347,0.0,573,552,2
717,clip_dim_717,0.07581721045389268,0.0005233904087922549,0.0,305,541,2
708,clip_dim_708,0.2322679885527509,0.0018406883602406978,0.0,132,118,2
718,clip_dim_718,0.3384799970157683,0.0023105008859222787,0.0,61,88,2
696,clip_dim_696,0.16312370195096423,0.0006169079117903803,0.0,208,476,2
694,clip_dim_694,-0.1839031876844466,0.000658614445149801,0.0,603,443,2
674,clip_dim_674,-0.043248785089701904,0.0008288687311905287,0.0,457,330,2
675,clip_dim_675,-0.2968825377597226,0.0032396920932379414,0.0,682,55,2
676,clip_dim_676,-0.15146090392636435,0.0005602508256648176,0.0,568,522,2
677,clip_dim_677,-0.2532194625890634,0.001306470024291406,0.0,659,177,2
678,clip_dim_678,-0.04245264636030546,0.0008168644334889292,0.0,456,343,2
679,clip_dim_679,0.20880067396917548,0.0003439738977278173,0.0,154,685,2
680,clip_dim_680,-0.43875959088200295,0.0032894999486824147,0.0,732,53,2
681,clip_dim_681,0.21074874969989282,0.001309025299559355,0.0,147,176,2
682,clip_dim_682,-0.17113599227415438,0.0006304039088934129,0.0,592,467,2
695,clip_dim_695,-0.2507267489660593,0.00121875575510248,0.0,658,192,2
683,clip_dim_683,0.05956852927687911,0.0009841045224172505,0.0,326,268,2
685,clip_dim_685,-0.5628726163124969,0.002652677265575114,0.0,748,77,2
686,clip_dim_686,-0.1420155352843839,0.0004673052132437574,0.0,555,594,2
687,clip_dim_687,0.09836459260494639,0.0007065028388009637,0.0,282,406,2
688,clip_dim_688,-0.08585082361971434,0.0008398347438779636,0.0,494,326,2
689,clip_dim_689,0.006669037177805501,0.0007665534462086774,0.0,396,356,2
690,clip_dim_690,0.33439563697609825,0.0008429853677813246,0.0,66,323,2
